,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
246,1859,Low countries,8.354999999999999,9759.26082759196,9029.895765490186,10505.00199857289,1094.7,130.8094674556213,1078.4207513142342,1165.4401800519445,1254.437107031645,re_low_countries,NLD,3665
247,1860,Low countries,8.45,10065.476704514718,9307.256261815766,10838.965181064834,1123.0,132.89940828402368,1101.450445185298,1191.1806750904993,1282.717772907081,re_low_countries,NLD,3840
248,1861,Low countries,8.545,10042.335250158092,9272.978141363637,10829.61203417757,1104.8,129.62010575349365,1086.6721565954326,1176.6802901447309,1268.7591202141623,re_low_countries,NLD,3735
249,1862,Low countries,8.639999999999999,10019.193795801468,9238.700020911507,10820.258887290305,1086.6,126.34080322296363,1071.8938680055676,1162.1799051989626,1254.8004675212435,re_low_countries,NLD,3881
250,1863,Low countries,8.735,9996.052341444843,9204.421900459378,10810.90574040304,1068.4,123.0615006924336,1057.1155794157023,1147.6795202531941,1240.8418148283245,re_low_countries,NLD,3953
251,1864,Low countries,8.83,9972.910887088217,9170.143780007249,10801.552593515777,1050.2,119.78219816190357,1042.337290825837,1133.179135307426,1226.8831621354057,re_low_countries,NLD,4111
252,1865,Low countries,8.925,9949.769432731591,9135.865659555118,10792.199446628512,1032.0,116.50289563137355,1027.559002235972,1118.6787503616574,1212.9245094424869,re_low_countries,NLD,4117
253,1866,Low countries,9.02,9926.627978374967,9101.58753910299,10782.846299741248,1013.8,113.22359310084352,1012.7807136461067,1104.178365415889,1198.965856749568,re_low_countries,NLD,4272
254,1867,Low countries,9.115,9903.486524018343,9067.30941865086,10773.493152853984,995.6,109.94429057031348,998.0024250562416,1089.6779804701207,1185.0072040566492,re_low_countries,NLD,4127
255,1868,Low countries,9.21,9880.345069661716,9033.031298198732,10764.14000596672,977.4,106.66498803978345,983.2241364663764,1075.1775955243522,1171.0485513637302,re_low_countries,NLD,4152
256,1869,Low countries,9.305,9857.20361530509,8998.753177746601,10754.786859079455,959.2,103.38568550925343,968.4458478765112,1060.677210578584,1157.0898986708114,re_low_countries,NLD,4286
257,1870,Low countries,9.4,9834.062160948466,8964.475057294472,10745.43371219219,941.0,100.1063829787234,953.667559286646,1046.1768256328155,1143.1312459778926,re_low_countries,NLD,4422
258,1871,Low countries,9.495000000000001,10319.894261601246,9377.367397689171,11312.006689623486,975.6,102.53052728954671,984.807068683986,1083.51453599201,1187.380087433293,re_low_countries,NLD,4364
259,1872,Low countries,9.59,10805.726362254027,9790.259738083872,11878.579667054779,1010.2,104.95467160037003,1015.9465780813259,1120.8522463512045,1231.6289288886935,re_low_countries,NLD,4414
260,1873,Low countries,9.685,11291.558462906807,10203.152078478572,12445.152644486072,1044.8,107.37881591119334,1047.0860874786658,1158.189956710399,1275.8777703440937,re_low_countries,NLD,4503
261,1874,Low countries,9.78,11777.390563559587,10616.044418873273,13011.725621917367,1079.4,109.80296022201665,1078.225596876006,1195.5276670695935,1320.1266117994942,re_low_countries,NLD,4337
262,1875,Low countries,9.875,12263.222664212368,11028.936759267972,13578.298599348662,1114.0,112.22710453283997,1109.3651062733459,1232.8653774287882,1364.3754532548946,re_low_countries,NLD,4584
263,1876,Low countries,9.97,12749.054764865148,11441.829099662671,14144.871576779955,1148.6,114.65124884366328,1140.5046156706858,1270.2030877879824,1408.624294710295,re_low_countries,NLD,4595
264,1877,Low countries,10.065,13234.88686551793,11854.721440057372,14711.444554211248,1183.2,117.07539315448659,1171.6441250680257,1307.5407981471772,1452.8731361656955,re_low_countries,NLD,4651
265,1878,Low countries,10.16,13720.71896617071,12267.613780452071,15278.017531642543,1217.8,119.49953746530991,1202.7836344653656,1344.8785085063716,1497.121977621096,re_low_countries,NLD,4637
266,1879,Low countries,10.254999999999999,14206.551066823491,12680.506120846772,15844.590509073838,1252.4,121.92368177613322,1233.9231438627057,1382.2162188655661,1541.3708190764962,re_low_countries,NLD,4414
267,1880,Low countries,10.35,14692.383167476271,13093.398461241472,16411.16348650513,1287.0,124.34782608695653,1265.0626532600456,1419.5539292247606,1585.6196605318967,re_low_countries,NLD,4666
268,1810,Nordic countries,3.853,3377.009653804409,3063.630578027958,3703.452618907623,282.0,73.18972229431611,795.1286213412816,876.4624069048557,961.1867684681088,re_nordic_countries,SWE,1320
269,1811,Nordic countries,3.8833,3504.2151787399475,3181.753350226542,3839.4711118158275,294.4,75.63975872705967,817.7538318735104,900.6800955493026,986.907301149442,re_nordic_countries,SWE,1417
270,1812,Nordic countries,3.9136,3631.4207036754856,3299.8761224251257,3975.489604724032,306.8,78.08979515980323,840.3790424057393,924.8977841937494,1012.6278338307751,re_nordic_countries,SWE,1328
271,1813,Nordic countries,3.9439,3758.626228611024,3417.9988946237095,4111.508097632236,319.2,80.53983159254679,863.0042529379681,949.1154728381964,1038.3483665121082,re_nordic_countries,SWE,1352
272,1814,Nordic countries,3.9742,3885.831753546562,3536.1216668222933,4247.52659054044,331.6,82.98986802529035,885.6294634701969,973.3331614826433,1064.0688991934414,re_nordic_countries,SWE,1363
273,1815,Nordic countries,4.0045,4013.0372784821006,3654.244439020877,4383.5450834486455,344.0,85.43990445803391,908.2546740024256,997.5508501270901,1089.7894318747747,re_nordic_countries,SWE,1411
274,1816,Nordic countries,4.0348,4140.242803417639,3772.367211219461,4519.56357635685,356.4,87.88994089077747,930.8798845346546,1021.768538771537,1115.509964556108,re_nordic_countries,SWE,1438
275,1817,Nordic countries,4.0651,4267.448328353177,3890.4899834180446,4655.582069265054,368.8,90.33997732352101,953.5050950668833,1045.9862274159839,1141.230497237441,re_nordic_countries,SWE,1396
276,1818,Nordic countries,4.0954,4394.653853288715,4008.6127556166284,4791.600562173258,381.2,92.79001375626457,976.1303055991121,1070.2039160604309,1166.951029918774,re_nordic_countries,SWE,1407
