,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
338,1880,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2359
339,1810,United Kingdom,6.569025501633812,4198.166717023654,3961.435585745141,4452.284603576639,655.0,19.0,99.71037558570781,603.047679562193,639.0851604974755,677.7694199039555,re_united_kingdom,GBR,3478
340,1811,United Kingdom,6.576692349369362,4395.128919903699,4149.170140691029,4657.955128633756,685.8,19.0,104.2299240072404,630.6010217395972,667.9854431273521,707.9354448140266,re_united_kingdom,GBR,3397
341,1812,United Kingdom,6.584359197104914,4592.091122783744,4336.904695636917,4863.625653690874,716.6,19.0,108.74947242877298,658.1543639170013,696.8857257572288,738.1014697240978,re_united_kingdom,GBR,3207
342,1813,United Kingdom,6.592026044840464,4789.053325663789,4524.639250582804,5069.296178747993,747.4,19.0,113.26902085030557,685.7077060944055,725.7860083871054,768.2674946341689,re_united_kingdom,GBR,3328
343,1814,United Kingdom,6.599692892576015,4986.015528543834,4712.373805528692,5274.96670380511,778.2,19.0,117.78856927183816,713.2610482718096,754.6862910169821,798.43351954424,re_united_kingdom,GBR,3204
344,1815,United Kingdom,6.607359740311566,5182.977731423879,4900.10836047458,5480.637228862228,809.0,19.0,122.30811769337075,740.8143904492138,783.5865736468586,828.5995444543112,re_united_kingdom,GBR,3489
345,1816,United Kingdom,6.615026588047117,5379.939934303924,5087.842915420468,5686.3077539193455,839.8,19.0,126.82766611490332,768.3677326266179,812.4868562767354,858.7655693643823,re_united_kingdom,GBR,3250
346,1817,United Kingdom,6.622693435782668,5576.902137183969,5275.577470366356,5891.978278976463,870.6,19.0,131.3472145364359,795.9210748040219,841.3871389066119,888.9315942744533,re_united_kingdom,GBR,3253
347,1818,United Kingdom,6.630360283518218,5773.864340064014,5463.312025312243,6097.648804033581,901.4,19.0,135.8667629579685,823.4744169814261,870.2874215364885,919.0976191845245,re_united_kingdom,GBR,3201
