region_code,region_code_atlas,year,value
re_low_countries,BEL,1 800,"3,25"
re_low_countries,BEL,1 850,"4,50"
re_low_countries,DUT,600,"0,20"
re_low_countries,DUT,800,"0,20"
re_low_countries,DUT,1 000,"0,30"
re_low_countries,DUT,1 100,"0,40"
re_low_countries,DUT,1 200,"0,60"
re_low_countries,DUT,1 300,"0,80"
re_low_countries,DUT,1 400,"0,60"
re_low_countries,DUT,1 500,"0,90"
re_low_countries,DUT,1 600,"1,50"
re_low_countries,DUT,1 650,"2,00"
re_low_countries,DUT,1 700,"2,00"
re_low_countries,DUT,1 750,"2,00"
re_low_countries,DUT,1 800,"2,00"
re_low_countries,DUT,1 850,"3,00"
re_muslim_world,ARAB_PENIN,-400,"1,5"
re_muslim_world,ARAB_PENIN,0,2
re_muslim_world,ARAB_PENIN,600,"5,25"
re_muslim_world,ARAB_PENIN,1500,"4,5"
